DATAFLOW,LAST UPDATE,freq,product,consom,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2000-S2,10.4150,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2001-S1,12.3170,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2001-S2,12.3886,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2002-S1,11.8500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2002-S2,11.3500,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2003-S1,12.1300,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2003-S2,12.3690,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2004-S1,12.3280,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2004-S2,12.3100,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2005-S1,13.5600,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2005-S2,13.8300,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2006-S1,15.9800,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2006-S2,17.2400,,
ESTAT:NRG_PC_202_H(1.0),28/05/21 23:00:00,"Half-yearly, semesterly",Natural gas,Households - D3 (annual consumption: 83.70 GJ),Gigajoule (gross calorific value - GCV),All taxes and levies included,Euro,Germany,2007-S1,18.4500,,
